alpha,T,auc,brier,log_loss,accuracy,n_bets,roi,profit,win_rate
0.0,0.5,0.7333959655015987,0.22592423715958304,0.6839980923758601,0.6713124274099884,687,-0.05720524017467248,-39.3,0.7234352256186317
0.0,0.6,0.7334199493734728,0.21867402073885786,0.6460083527585921,0.6713124274099884,391,-0.07278772378516624,-28.46,0.7212276214833759
0.0,0.7,0.7334199493734728,0.21386908040102545,0.6247603401451985,0.6713124274099884,1,0.32000000000000006,0.32000000000000006,1.0
0.0,0.8,0.7334199493734728,0.21080626360992488,0.6128999264660895,0.6713124274099884,0,0.0,0.0,0.0
0.0,0.9,0.7334199493734728,0.20898064815694278,0.6065448458680686,0.6713124274099884,0,0.0,0.0,0.0
0.0,1.0,0.733421319880437,0.20803081413646868,0.6035231111826957,0.6713124274099884,0,0.0,0.0,0.0
0.0,1.1,0.7334206346269548,0.2076981554738546,0.6025613924559247,0.6713124274099884,89,0.4805617977528091,42.77000000000001,0.19101123595505617
0.0,1.2,0.7334192641199906,0.20779757306585261,0.602886140863344,0.6713124274099884,244,0.42954918032786893,104.81000000000002,0.27049180327868855
0.0,1.3,0.733421319880437,0.208196480095912,0.6040142860459399,0.6713124274099884,341,0.25815249266862167,88.02999999999999,0.2668621700879765
0.0,1.5,0.7334206346269548,0.2095393526079927,0.6075564172260722,0.6713124274099884,434,0.22608294930875575,98.11999999999999,0.29493087557603687
0.0,1.7,0.7334220051339191,0.2112450098332917,0.6118005800174677,0.6713124274099884,482,0.20441908713692947,98.53,0.3049792531120332
0.0,2.0,0.7334206346269548,0.21397685583137735,0.6182700648839754,0.6713124274099884,539,0.20630797773654913,111.19999999999999,0.32653061224489793
0.0,2.5,0.7334213198804369,0.2182493470749034,0.6278974299789017,0.6713124274099884,570,0.18928070175438594,107.88999999999999,0.3298245614035088
0.0,3.0,0.7334206346269548,0.22186143592542706,0.6357362106978502,0.6713124274099884,589,0.18526315789473685,109.12,0.33446519524617996
0.05,0.5,0.7367091660876275,0.2239705367383119,0.6686362409262749,0.6753774680603949,669,-0.06020926756352765,-40.28,0.7234678624813154
0.05,0.6,0.7367091660876275,0.2166653222841365,0.6339452472620536,0.6753774680603949,333,-0.02267267267267267,-7.549999999999999,0.7597597597597597
0.05,0.7,0.7367091660876275,0.21188651436523526,0.6150735231909582,0.6753774680603949,1,0.32000000000000006,0.32000000000000006,1.0
0.05,0.8,0.7367091660876275,0.2089025124484812,0.6049599831963667,0.6753774680603949,0,0.0,0.0,0.0
0.05,0.9,0.7367091660876275,0.20718576324763596,0.5999261584777273,0.6753774680603949,6,8.183333333333335,49.10000000000001,1.0
