tournament,family,tier,scope,matched_rule,matches,date_min,date_max,unique_teams,unique_players,aligned_player_glicko_predictions,odds_mapped_matches
2025 Mid-Season Invitational,MSI,international,cross_league,international.msi,19,2025-06-27,2025-07-12,10,50,19,19
2026 First Stand,First Stand,international,cross_league,international.first_stand,13,2026-03-16,2026-03-22,8,40,13,13
All-Star 2014,All-Star,international,cross_league,international.all_star,13,2014-05-08,2014-05-11,5,25,13,0
Americas Challengers 2024,NACL,development,domestic,development.nacl,21,2024-09-14,2024-09-21,6,31,21,0
Americas Cup 2026,Americas Cup,international,cross_league,international.americas_cup,6,2026-03-04,2026-03-08,4,20,6,4
Arabian League 2025 Spring,Arabian League,regional,domestic,regional.arabian_league,40,2025-04-09,2025-05-09,8,49,40,0
Arabian League 2025 Spring Playoffs,Arabian League,regional,domestic,regional.arabian_league,9,2025-05-14,2025-05-23,6,30,9,0
Arabian League 2025 Summer,Arabian League,regional,domestic,regional.arabian_league,24,2025-07-14,2025-07-26,8,40,24,0
Arabian League 2025 Summer Playoffs,Arabian League,regional,domestic,regional.arabian_league,4,2025-08-17,2025-08-19,4,20,4,0
Arabian League 2025 Winter,Arabian League,regional,domestic,regional.arabian_league,28,2025-02-14,2025-02-21,8,40,28,0
Arabian League 2025 Winter Playoffs,Arabian League,regional,domestic,regional.arabian_league,10,2025-02-25,2025-03-07,6,30,10,0
Arabian League 2026 Spring,Arabian League,regional,domestic,regional.arabian_league,35,2026-04-10,2026-05-08,8,45,35,0
Arabian League 2026 Winter,Arabian League,regional,domestic,regional.arabian_league,38,2026-01-13,2026-02-13,8,44,38,0
Arabian League 2026 Winter Playoffs,Arabian League,regional,domestic,regional.arabian_league,10,2026-02-18,2026-02-26,6,31,10,0
Arabian League Spring 2023,Arabian League,regional,domestic,regional.arabian_league,57,2023-02-01,2023-03-11,8,44,57,0
Arabian League Spring 2024,Arabian League,regional,domestic,regional.arabian_league,56,2024-02-08,2024-03-21,8,44,56,0
