rating_rank,player_id,player_name,glicko_rating,glicko_rd,glicko_lower_bound,games_played,low_evidence,last_appearance,days_since_last_appearance,domestic_family,domestic_tier,affiliation_source_date,affiliation_source_tournament,affiliation_source_team
1,1228,Viper,2070.6737579529517,67.44077634900962,1935.7922052549325,996,False,2026-05-08,20,LPL,major,2026-05-08,LPL 2026 Split 2,2849
2,3353,ON,2063.519879881831,67.11734194881572,1929.2851959841996,751,False,2026-05-08,20,LPL,major,2026-05-08,LPL 2026 Split 2,2849
3,2606,Bin,2063.4955288663923,67.0844007490493,1929.3267273682936,884,False,2026-05-08,20,LPL,major,2026-05-08,LPL 2026 Split 2,2849
4,1270,Knight,2063.447049749716,67.01789514453766,1929.4112594606406,1051,False,2026-05-08,20,LPL,major,2026-05-08,LPL 2026 Split 2,2849
5,3330,XUN,2051.7468722824933,66.58781950069057,1918.5712332811122,685,False,2026-05-08,20,LPL,major,2026-05-08,LPL 2026 Split 2,2849
6,1629,Chovy,2049.3519232206763,71.55046444123948,1906.2509943381974,1012,False,2026-05-08,20,LCK,major,2026-05-08,LCK 2026 Rounds 1-2,2804
7,685,Ruler,2048.9202877466664,71.46336399482132,1905.9935597570238,1212,False,2026-05-08,20,LCK,major,2026-05-08,LCK 2026 Rounds 1-2,2804
8,1909,Canyon,2040.610131254689,70.77719116499092,1899.0557489247071,967,False,2026-05-08,20,LCK,major,2026-05-08,LCK 2026 Rounds 1-2,2804
9,4946,SkewMond,2037.0148350622862,67.58364995579406,1901.8475351506981,325,False,2026-05-10,18,LEC,major,2026-05-10,LEC 2026 Spring Season,2897
10,732,Hans Sama,2036.9049237831853,67.46682351890183,1901.9712767453816,791,False,2026-05-10,18,LEC,major,2026-05-10,LEC 2026 Spring Season,2897
11,1310,Brokenblade,2036.8924983170868,67.43383229728065,1902.0248337225255,742,False,2026-05-10,18,LEC,major,2026-05-10,LEC 2026 Spring Season,2897
12,802,Caps,2036.8756500761642,67.38944768904125,1902.0967546980817,909,False,2026-05-10,18,LEC,major,2026-05-10,LEC 2026 Spring Season,2897
13,2887,Labrov,2036.503429895964,67.54636706711055,1901.410695761743,509,False,2026-05-10,18,LEC,major,2026-05-10,LEC 2026 Spring Season,2897
14,1115,Kiin,2033.3830569454394,70.18975681663683,1893.0035433121657,1051,False,2026-05-08,20,LCK,major,2026-05-08,LCK 2026 Rounds 1-2,2804
15,4259,Duro,2032.5979172300126,70.31508271325065,1891.9677518035114,477,False,2026-05-08,20,LCK,major,2026-05-08,LCK 2026 Rounds 1-2,2804
16,3247,Gumayusi,2010.8663000717922,69.08722482860531,1872.6918504145815,749,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2805
17,4216,Piero,2008.5984717384417,70.4942179321688,1867.6100358741041,325,False,2026-05-07,21,LFL,regional,2026-05-07,LFL 2026 Spring Playoffs,2918
18,1267,JackeyLove,2003.9582444030007,68.65643537318763,1866.6453736566255,1032,False,2026-05-09,19,LPL,major,2026-05-09,LPL 2026 Split 2,2852
19,3658,Zeus,2003.5346218589095,68.90472866546484,1865.7251645279798,702,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2805
20,3411,Delight,2003.374377120703,68.9455620577227,1865.4832530052577,654,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2805
21,2906,Zeka,2003.3401683105822,68.87471712675331,1865.5907340570755,715,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2805
22,3873,SlowQ,1993.7116919532566,75.63498405764234,1842.441723837972,320,False,2026-04-16,42,TCL,regional,2026-04-16,TCL 2026 Spring,2912
23,2360,Kanavi,1993.0843799501429,68.32229551371972,1856.4397889227034,815,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2805
24,48,Faker,1992.9465649171777,68.45412520634633,1856.038314504485,1502,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2809
25,1258,Keria,1992.9032540459752,68.57286838627414,1855.7575172734269,966,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2809
26,1242,Doran,1992.9008307757763,68.5959592343336,1855.7089123071091,848,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2809
27,3741,Oner,1992.8509395568924,68.64519196108392,1855.5605556347246,767,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2809
28,4434,Aetinoth,1971.4256629409483,69.70443812520608,1832.0167866905363,277,False,2026-05-07,21,LFL,regional,2026-05-07,LFL 2026 Spring Playoffs,2918
29,2653,Jool,1969.108532572351,69.16658214916916,1830.7753682740126,295,False,2026-05-07,21,LFL,regional,2026-05-07,LFL 2026 Spring Playoffs,2918
30,1640,Ragner,1964.574134244548,74.86126437314384,1814.8516054982604,520,False,2026-05-07,21,TCL,regional,2026-05-07,TCL 2026 Spring,2912
31,4247,Peyz,1963.087258034543,67.58200929681279,1827.9232394409175,557,False,2026-05-10,18,LCK,major,2026-05-10,LCK 2026 Rounds 1-2,2809
32,3999,Zicssi,1959.5526543718452,68.52679991665072,1822.4990545385438,338,False,2026-05-07,21,LFL,regional,2026-05-07,LFL 2026 Spring Playoffs,2918
33,4500,Busio,1953.9537477629829,68.36292712112001,1817.2278935207428,359,False,2026-05-10,18,LEC,major,2026-05-10,LEC 2026 Spring Season,2899
34,3906,Creme,1953.4025595383355,64.95122940801018,1823.5001007223152,621,False,2026-05-09,19,LPL,major,2026-05-09,LPL 2026 Split 2,2852
35,5985,Steller,1949.62170300544,104.61252230388945,1740.396658397661,33,False,2026-05-02,26,LCP,minor_top_level,2026-05-02,LCP 2026 Split 2,2886
36,2577,Kryze,1946.820037536712,68.51696106437242,1809.7861154079674,339,False,2026-05-07,21,LFL,regional,2026-05-07,LFL 2026 Spring Playoffs,2918
