model,control,split,cohort,n,bootstrap_unit,bootstrap_blocks,bootstrap_repetitions,random_seed,control_log_loss,candidate_log_loss,log_loss_delta_vs_control,paired_block_bootstrap_ci_low,paired_block_bootstrap_ci_high
baseline_logit_calibration,player_glicko_external_weight_one,diagnostic_2024_plus,overall,9796,competition family-year for cross-league events; calendar month otherwise,37,5000,75,0.5786447741024773,0.5760140761954088,-0.0026306979070685296,-0.003264859806033799,-0.0021195465322009816
baseline_logit_calibration,player_glicko_external_weight_one,diagnostic_2024_plus,major_major,2158,competition family-year for cross-league events; calendar month otherwise,33,5000,75,0.5794189850140671,0.577226138567395,-0.0021928464466720128,-0.0031462347658899907,-0.0012397035654634833
baseline_logit_calibration,player_glicko_external_weight_one,diagnostic_2024_plus,regional_regional,4348,competition family-year for cross-league events; calendar month otherwise,26,5000,75,0.5753826721615589,0.5721481904571771,-0.0032344817043817955,-0.004226904200555012,-0.0024077211483896294
baseline_logit_calibration,player_glicko_external_weight_one,diagnostic_2024_plus,development,2099,competition family-year for cross-league events; calendar month otherwise,23,5000,75,0.6020819584662614,0.6013147129741442,-0.0007672454921174084,-0.002041940373349728,0.00016416269692049658
baseline_logit_calibration,player_glicko_external_weight_one,diagnostic_2024_plus,known_cross_league,709,competition family-year for cross-league events; calendar month otherwise,12,5000,75,0.6032369671610395,0.5998664780664575,-0.003370489094581913,-0.004870544803590642,-0.002433211214087955
baseline_logit_calibration,player_glicko_external_weight_one,diagnostic_2024_plus,major_vs_lower,67,competition family-year for cross-league events; calendar month otherwise,10,5000,75,0.5675189310854493,0.561368110301995,-0.006150820783454178,-0.010464832428868214,-0.002192202607018224
tier_offset,player_glicko_external_weight_one,diagnostic_2024_plus,overall,9796,competition family-year for cross-league events; calendar month otherwise,37,5000,75,0.5786447741024773,0.5759443128550799,-0.00270046124739743,-0.003809140077801941,-0.0017807197284051737
tier_offset,player_glicko_external_weight_one,diagnostic_2024_plus,major_major,2158,competition family-year for cross-league events; calendar month otherwise,33,5000,75,0.5794189850140671,0.5773616294898625,-0.0020573555242045525,-0.0029160633554901,-0.0011978999424662787
tier_offset,player_glicko_external_weight_one,diagnostic_2024_plus,regional_regional,4348,competition family-year for cross-league events; calendar month otherwise,26,5000,75,0.5753826721615589,0.5723649696920191,-0.003017702469539734,-0.0039432449588471695,-0.0022371721232431908
tier_offset,player_glicko_external_weight_one,diagnostic_2024_plus,development,2099,competition family-year for cross-league events; calendar month otherwise,23,5000,75,0.6020819584662614,0.6010946694909883,-0.0009872889752731316,-0.0033770802896741134,0.0004895631978722539
tier_offset,player_glicko_external_weight_one,diagnostic_2024_plus,known_cross_league,709,competition family-year for cross-league events; calendar month otherwise,12,5000,75,0.6032369671610395,0.5977942520260209,-0.005442715135018563,-0.021432220001138442,0.0059861879112125685
tier_offset,player_glicko_external_weight_one,diagnostic_2024_plus,major_vs_lower,67,competition family-year for cross-league events; calendar month otherwise,10,5000,75,0.5675189310854493,0.534573271728338,-0.03294565935711121,-0.1285403160085921,0.08769868805889752
tier_offset_context_slope,player_glicko_external_weight_one,diagnostic_2024_plus,overall,9796,competition family-year for cross-league events; calendar month otherwise,37,5000,75,0.5786447741024773,0.576206322249382,-0.0024384518530953143,-0.003782339343610347,-0.0012749704001978215
tier_offset_context_slope,player_glicko_external_weight_one,diagnostic_2024_plus,major_major,2158,competition family-year for cross-league events; calendar month otherwise,33,5000,75,0.5794189850140671,0.5760133456284243,-0.0034056393856426986,-0.005233027696850163,-0.0017344104320037895
tier_offset_context_slope,player_glicko_external_weight_one,diagnostic_2024_plus,regional_regional,4348,competition family-year for cross-league events; calendar month otherwise,26,5000,75,0.5753826721615589,0.5733359768978872,-0.0020466952636717254,-0.003660449526529597,-0.0009450042678605056
tier_offset_context_slope,player_glicko_external_weight_one,diagnostic_2024_plus,development,2099,competition family-year for cross-league events; calendar month otherwise,23,5000,75,0.6020819584662614,0.6046576343669221,0.00257567590066058,0.00013036008588842896,0.0052115575037216194
tier_offset_context_slope,player_glicko_external_weight_one,diagnostic_2024_plus,known_cross_league,709,competition family-year for cross-league events; calendar month otherwise,12,5000,75,0.6032369671610395,0.5921607487948805,-0.011076218366159012,-0.02511147613413467,0.0005439708743623842
tier_offset_context_slope,player_glicko_external_weight_one,diagnostic_2024_plus,major_vs_lower,67,competition family-year for cross-league events; calendar month otherwise,10,5000,75,0.5675189310854493,0.5398993655639541,-0.027619565521495065,-0.12330884717170995,0.09229270434250195
