model,split,cohort,fitted_on,ridge_c,fit_intercept,symmetry_contract,feature_names_json,coefficients_json,n,date_min,date_max,positives,negatives,event_rate,mean_probability,calibration_gap,absolute_calibration_gap,log_loss,brier,auc
player_glicko_external_weight_one,selection_2021_2023,overall,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",15008,2021-01-02,2023-11-19,7763,7245,0.5172574626865671,0.5032840289618994,-0.01397343372466775,0.01397343372466775,0.6052022416969912,0.20923016695980642,0.7321800240332408
player_glicko_external_weight_one,selection_2021_2023,major_major,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",2905,2021-01-02,2023-11-19,1493,1412,0.5139414802065404,0.5004259102676463,-0.013515569938894134,0.013515569938894134,0.6061128108620167,0.20927001274337115,0.7338004644905689
player_glicko_external_weight_one,selection_2021_2023,regional_regional,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",5807,2021-01-14,2023-09-22,3024,2783,0.520750817978302,0.5014739654134308,-0.019276852564871216,0.019276852564871216,0.6148904185923364,0.21305025381857548,0.7227288293246792
player_glicko_external_weight_one,selection_2021_2023,development,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",2980,2021-01-19,2023-09-19,1552,1428,0.5208053691275167,0.5050360922982797,-0.01576927682923701,0.01576927682923701,0.6383264761640048,0.22420107509017745,0.6827428780790668
player_glicko_external_weight_one,selection_2021_2023,known_cross_league,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",1062,2021-03-29,2023-11-19,550,512,0.5178907721280602,0.5004712453033493,-0.01741952682471093,0.01741952682471093,0.6060152946787724,0.2092990345005595,0.7403071732954547
player_glicko_external_weight_one,selection_2021_2023,major_vs_lower,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",149,2021-03-01,2023-10-27,79,70,0.5302013422818792,0.487305075127764,-0.04289626715411521,0.04289626715411521,0.4635558568048399,0.1472766708679479,0.891862567811935
player_glicko_external_weight_one,diagnostic_2024_plus,overall,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",9796,2024-01-03,2026-05-28,5273,4523,0.5382809309922417,0.5123933558602954,-0.025887575131946283,0.025887575131946283,0.5786447741024773,0.19742760564169978,0.7684617748449578
player_glicko_external_weight_one,diagnostic_2024_plus,major_major,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",2158,2024-01-03,2026-05-10,1143,1015,0.5296570898980537,0.5121533595832127,-0.017503730314840982,0.017503730314840982,0.5794189850140671,0.19777606532282635,0.7667778596640937
player_glicko_external_weight_one,diagnostic_2024_plus,regional_regional,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",4348,2024-01-17,2026-05-28,2384,1964,0.5482980680772769,0.5128051684928863,-0.035492899584390614,0.035492899584390614,0.5753826721615589,0.19591663454864355,0.7744954482702061
player_glicko_external_weight_one,diagnostic_2024_plus,development,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",2099,2024-01-18,2026-05-11,1108,991,0.5278704144830871,0.5093576458150261,-0.018512768668061064,0.018512768668061064,0.6020819584662614,0.2077560375165462,0.7368140885296186
player_glicko_external_weight_one,diagnostic_2024_plus,known_cross_league,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",709,2024-04-15,2026-04-21,417,292,0.5881523272214386,0.5220246978456757,-0.06612762937576289,0.06612762937576289,0.6032369671610395,0.2073318930338282,0.7468504648336125
player_glicko_external_weight_one,diagnostic_2024_plus,major_vs_lower,external_control_not_fitted,,False,side swap negates baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.0}",67,2024-05-01,2026-04-08,45,22,0.6716417910447762,0.5542782489549639,-0.11736354208981226,0.11736354208981226,0.5675189310854493,0.19112851386576238,0.788888888888889
baseline_logit_calibration,selection_2021_2023,overall,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",15008,2021-01-02,2023-11-19,7763,7245,0.5172574626865671,0.5035091635211192,-0.013748299165447952,0.013748299165447952,0.60477428902566,0.20906226504095413,0.7321800240332408
baseline_logit_calibration,selection_2021_2023,major_major,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",2905,2021-01-02,2023-11-19,1493,1412,0.5139414802065404,0.5004906743529678,-0.013450805853572612,0.013450805853572612,0.6051858569199418,0.2088981122147243,0.7338004644905689
baseline_logit_calibration,selection_2021_2023,regional_regional,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",5807,2021-01-14,2023-09-22,3024,2783,0.520750817978302,0.5016523272772975,-0.019098490701004556,0.019098490701004556,0.6147120756125773,0.2128945034596565,0.7227288293246792
baseline_logit_calibration,selection_2021_2023,development,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",2980,2021-01-19,2023-09-19,1552,1428,0.5208053691275167,0.5052891843926125,-0.015516184734904237,0.015516184734904237,0.640012038594531,0.22483832141387575,0.6827428780790668
baseline_logit_calibration,selection_2021_2023,known_cross_league,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",1062,2021-03-29,2023-11-19,550,512,0.5178907721280602,0.5005578755373646,-0.01733289659069559,0.01733289659069559,0.6032094234764684,0.2082255058303656,0.7403071732954547
baseline_logit_calibration,selection_2021_2023,major_vs_lower,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",149,2021-03-01,2023-10-27,79,70,0.5302013422818792,0.4869645873606846,-0.04323675492119461,0.04323675492119461,0.4553325125855977,0.14449457688501563,0.891862567811935
baseline_logit_calibration,diagnostic_2024_plus,overall,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",9796,2024-01-03,2026-05-28,5273,4523,0.5382809309922417,0.5132078601593483,-0.02507307083289345,0.02507307083289345,0.5760140761954088,0.1964898468797067,0.7684617748449578
baseline_logit_calibration,diagnostic_2024_plus,major_major,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",2158,2024-01-03,2026-05-10,1143,1015,0.5296570898980537,0.5128453121309835,-0.016811777767070213,0.016811777767070213,0.577226138567395,0.19697528408555848,0.7667778596640937
baseline_logit_calibration,diagnostic_2024_plus,regional_regional,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",4348,2024-01-17,2026-05-28,2384,1964,0.5482980680772769,0.5136867510861405,-0.0346113169911364,0.0346113169911364,0.5721481904571771,0.19476484236742939,0.7744954482702061
baseline_logit_calibration,diagnostic_2024_plus,development,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",2099,2024-01-18,2026-05-11,1108,991,0.5278704144830871,0.509950130328634,-0.017920284154453126,0.017920284154453126,0.6013147129741442,0.2074473328736254,0.7368140885296186
baseline_logit_calibration,diagnostic_2024_plus,known_cross_league,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",709,2024-04-15,2026-04-21,417,292,0.5881523272214386,0.5235857285262556,-0.064566598695183,0.064566598695183,0.5998664780664575,0.20594287603365202,0.7468504648336125
baseline_logit_calibration,diagnostic_2024_plus,major_vs_lower,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit""]","{""baseline_logit"": 1.084995330136301}",67,2024-05-01,2026-04-08,45,22,0.6716417910447762,0.55828333417019,-0.11335845687458612,0.11335845687458612,0.561368110301995,0.18873722125094594,0.788888888888889
tier_offset,selection_2021_2023,overall,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit"": 1.078542986370547, ""tier_difference::development"": -0.5240919147994885, ""tier_difference::major"": 0.34512632277777366, ""tier_difference::minor_top_level"": -0.6522488767870084, ""tier_difference::regional"": 0.8312144688087236}",15008,2021-01-02,2023-11-19,7763,7245,0.5172574626865671,0.5037722172659149,-0.013485245420652214,0.013485245420652214,0.6038424358265078,0.20867589533602202,0.7332327607014106
tier_offset,selection_2021_2023,major_major,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit"": 1.078542986370547, ""tier_difference::development"": -0.5240919147994885, ""tier_difference::major"": 0.34512632277777366, ""tier_difference::minor_top_level"": -0.6522488767870084, ""tier_difference::regional"": 0.8312144688087236}",2905,2021-01-02,2023-11-19,1493,1412,0.5139414802065404,0.5004856214437418,-0.013455858762798645,0.013455858762798645,0.6052280510428362,0.20891615989004805,0.7338004644905689
tier_offset,selection_2021_2023,regional_regional,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit"": 1.078542986370547, ""tier_difference::development"": -0.5240919147994885, ""tier_difference::major"": 0.34512632277777366, ""tier_difference::minor_top_level"": -0.6522488767870084, ""tier_difference::regional"": 0.8312144688087236}",5807,2021-01-14,2023-09-22,3024,2783,0.520750817978302,0.5016386366582013,-0.01911218132010073,0.01911218132010073,0.6146975524354735,0.21289689953046884,0.7227288293246792
tier_offset,selection_2021_2023,development,selection_2021_2023,1.0,False,all inputs negate under side swap; invariant contexts only multiply baseline logit,"[""baseline_logit"", ""tier_difference::major"", ""tier_difference::minor_top_level"", ""tier_difference::regional"", ""tier_difference::development""]","{""baseline_logit"": 1.078542986370547, ""tier_difference::development"": -0.5240919147994885, ""tier_difference::major"": 0.34512632277777366, ""tier_difference::minor_top_level"": -0.6522488767870084, ""tier_difference::regional"": 0.8312144688087236}",2980,2021-01-19,2023-09-19,1552,1428,0.5208053691275167,0.5062607472273046,-0.014544621900212107,0.014544621900212107,0.6388249342084298,0.22433988879336839,0.6839178325969564
