edge_type,source_family,source_tier,target_family,target_tier,events,date_min,date_max,unique_matches,unique_players,unique_team_pairs,match_ids,player_ids
direct_bridge,Arabian League,regional,EBL,regional,6,2023-04-04,2026-03-12,6,0,5,48685|48693|53069|53083|57917|75417,
direct_bridge,Arabian League,regional,HLL,regional,5,2023-08-15,2026-03-11,5,0,5,53099|57880|57926|72736|75394,
direct_bridge,Arabian League,regional,Hitpoint Masters,regional,4,2023-04-04,2025-09-29,4,0,3,48681|48701|53093|72616,
direct_bridge,Arabian League,regional,LFL,regional,8,2023-08-15,2025-06-05,8,0,7,53097|57887|57960|58003|61868|61879|62018|68945,
direct_bridge,Arabian League,regional,LIT,regional,4,2023-08-14,2024-08-07,4,0,2,53063|53162|57929|61873,
direct_bridge,Arabian League,regional,LPLOL,regional,1,2024-04-16,2024-04-16,1,0,1,57920,
direct_bridge,Arabian League,regional,NLC,regional,4,2023-04-04,2024-04-16,4,0,3,48673|48713|48735|57901,
direct_bridge,Arabian League,regional,Prime League,regional,1,2024-04-25,2024-04-25,1,0,1,58008,
direct_bridge,Arabian League,regional,Rift Legends,regional,4,2025-06-09,2026-03-13,4,0,4,69032|72510|72620|75451,
direct_bridge,Arabian League,regional,Road of Legends,regional,3,2023-04-04,2025-06-09,3,0,2,48666|48694|69023,
direct_bridge,Arabian League,regional,SuperLiga,regional,5,2023-04-11,2025-03-17,5,0,4,48830|57970|57976|57986|64922,
direct_bridge,Arabian League,regional,TCL,regional,7,2023-04-11,2025-06-09,7,0,7,48826|57954|57968|61863|62215|68972|69011,
direct_bridge,Arabian League,regional,Ultraliga,regional,2,2023-04-13,2024-04-19,2,0,2,48858|57938,
direct_bridge,Baltic Masters,regional,Hitpoint Masters,regional,2,2021-03-29,2021-03-30,2,0,2,30667|30697,
direct_bridge,Baltic Masters,regional,LFL,regional,1,2021-03-29,2021-03-29,1,0,1,30679,
direct_bridge,Baltic Masters,regional,LIT,regional,1,2021-03-29,2021-03-29,1,0,1,30665,
direct_bridge,Baltic Masters,regional,LPLOL,regional,2,2021-08-16,2021-08-17,2,0,1,34629|34690,
direct_bridge,Baltic Masters,regional,NLC,regional,1,2021-03-30,2021-03-30,1,0,1,30699,
direct_bridge,Baltic Masters,regional,Prime League,regional,1,2021-03-30,2021-03-30,1,0,1,30681,
direct_bridge,Baltic Masters,regional,Road of Legends,regional,2,2021-08-16,2021-08-17,2,0,1,34642|34699,
direct_bridge,Baltic Masters,regional,SuperLiga,regional,2,2021-08-16,2021-08-17,2,0,1,34650|34683,
direct_bridge,CBLOL,minor_top_level,LCK,major,2,2019-10-05,2021-10-06,2,0,2,20384|35197,
direct_bridge,CBLOL,minor_top_level,LCL,minor_top_level,1,2019-05-05,2019-05-05,1,0,1,17225,
direct_bridge,CBLOL,minor_top_level,LCO,minor_top_level,1,2022-10-02,2022-10-02,1,0,1,44307,
direct_bridge,CBLOL,minor_top_level,LCS,major,8,2017-09-24,2026-03-08,8,0,8,8959|14423|26998|44318|62765|75193|75216|75303,
direct_bridge,CBLOL,minor_top_level,LEC,major,4,2020-09-28,2022-10-01,4,0,3,27008|31257|31272|44298,
direct_bridge,CBLOL,minor_top_level,LJL,minor_top_level,5,2018-05-04,2023-05-05,5,0,5,11575|14421|17228|44324|48993,
direct_bridge,CBLOL,minor_top_level,LLA,minor_top_level,6,2018-07-04,2018-07-08,6,0,6,12499|12500|12504|12505|12593|12595,
direct_bridge,CBLOL,minor_top_level,LPL,major,2,2021-10-06,2022-05-13,2,0,2,35195|39931,
direct_bridge,CBLOL,minor_top_level,LST,minor_top_level,1,2019-05-05,2019-05-05,1,0,1,17226,
direct_bridge,CBLOL,minor_top_level,OPL,minor_top_level,1,2018-05-04,2018-05-04,1,0,1,11577,
direct_bridge,CBLOL,minor_top_level,PCS,minor_top_level,5,2021-05-07,2023-10-12,5,0,4,31252|31270|39911|44284|53517,
direct_bridge,CBLOL,minor_top_level,TCL,minor_top_level,7,2018-05-04,2022-05-13,7,0,5,11579|20386|20394|26986|31245|31273|39932,
direct_bridge,CBLOL,minor_top_level,VCS,minor_top_level,3,2023-10-10,2024-05-04,3,0,2,53479|53523|58056,
direct_bridge,EBL,regional,Arabian League,regional,6,2023-08-15,2025-10-06,6,0,5,53091|53109|53161|57892|61921|72715,
direct_bridge,EBL,regional,HLL,regional,6,2021-03-30,2026-03-13,6,0,6,30690|43965|48668|53067|57905|75445,
direct_bridge,EBL,regional,Hitpoint Masters,regional,6,2021-08-17,2024-04-16,6,0,4,34696|39458|39581|53073|57885|57910,
direct_bridge,EBL,regional,LFL,regional,7,2021-04-15,2025-09-30,7,0,7,31154|39862|44132|48741|53081|68798|72653,
direct_bridge,EBL,regional,LIT,regional,6,2021-04-01,2024-04-16,6,0,5,30835|34647|34680|48680|53095|57918,
direct_bridge,EBL,regional,LPLOL,regional,3,2021-03-30,2024-08-06,3,0,3,30686|34688|61861,
direct_bridge,EBL,regional,NLC,regional,4,2021-09-02,2024-04-15,4,0,4,34854|39573|43908|57884,
direct_bridge,EBL,regional,Prime League,regional,6,2021-08-31,2026-03-11,6,0,6,34842|39589|39710|44059|72774|75391,
direct_bridge,EBL,regional,Road of Legends,regional,2,2021-03-29,2022-08-25,2,0,2,30662|43949,
direct_bridge,EBL,regional,SuperLiga,regional,2,2022-08-30,2024-08-07,2,0,2,44048|61886,
direct_bridge,EBL,regional,Ultraliga,regional,5,2021-04-14,2024-08-09,5,0,4,31149|31188|35028|39864|61988,
direct_bridge,HLL,regional,Arabian League,regional,5,2023-08-14,2025-06-04,5,0,5,53071|53169|57913|61821|68807,
direct_bridge,HLL,regional,Baltic Masters,regional,2,2021-08-16,2021-08-17,2,0,1,34641|34698,
direct_bridge,HLL,regional,EBL,regional,8,2021-03-29,2025-06-05,8,0,8,30670|43920|48708|53107|57876|61818|64964|68880,
direct_bridge,HLL,regional,Hitpoint Masters,regional,4,2022-04-04,2025-10-02,4,0,4,39457|43968|61927|72706,
direct_bridge,HLL,regional,LFL,regional,6,2021-09-07,2025-06-09,6,0,6,35033|39849|44060|48851|53202|69014,
direct_bridge,HLL,regional,LIT,regional,8,2022-04-04,2025-10-01,8,0,8,39465|43952|48692|53079|53206|61595|72580|72681,
direct_bridge,HLL,regional,LPLOL,regional,8,2021-03-30,2024-04-16,8,0,6,30698|34649|34726|43982|48687|53074|57886|57925,
direct_bridge,HLL,regional,NLC,regional,8,2022-04-22,2025-10-01,8,0,7,39854|43953|44129|48847|53082|57921|65045|72674,
direct_bridge,HLL,regional,Prime League,regional,6,2021-04-17,2026-03-13,6,0,6,31144|39716|43915|48831|72696|75457,
direct_bridge,HLL,regional,Rift Legends,regional,3,2025-06-06,2026-03-14,3,0,3,68966|72667|75502,
direct_bridge,HLL,regional,Road of Legends,regional,6,2021-03-30,2026-03-11,6,0,6,30682|43912|48707|53090|57874|75403,
direct_bridge,HLL,regional,SuperLiga,regional,5,2021-08-19,2025-03-20,5,0,5,34730|34835|39576|62015|65024,
direct_bridge,HLL,regional,TCL,regional,5,2023-04-05,2025-06-04,5,0,5,48699|57907|61968|62036|68786,
direct_bridge,HLL,regional,Ultraliga,regional,3,2021-04-15,2022-08-31,3,0,2,31155|31193|44055,
direct_bridge,Hitpoint Masters,regional,Arabian League,regional,3,2023-08-14,2024-04-16,3,0,2,53085|57891|57904,
direct_bridge,Hitpoint Masters,regional,Baltic Masters,regional,2,2021-03-29,2021-03-30,2,0,2,30677|30695,
direct_bridge,Hitpoint Masters,regional,EBL,regional,8,2021-08-16,2025-06-03,8,0,5,34639|34724|48669|48688|48696|48709|53101|68771,
direct_bridge,Hitpoint Masters,regional,HLL,regional,4,2022-04-05,2023-04-05,4,0,3,39584|43903|48676|48704,
direct_bridge,Hitpoint Masters,regional,LES,regional,1,2026-03-10,2026-03-10,1,0,1,75365,
direct_bridge,Hitpoint Masters,regional,LFL,regional,9,2019-04-17,2024-08-15,9,0,8,17139|30663|34652|34685|43966|48839|53065|57924|62185,
direct_bridge,Hitpoint Masters,regional,LIT,regional,8,2020-04-06,2025-10-01,8,0,6,22951|30685|39449|39572|43964|43978|57906|72682,
direct_bridge,Hitpoint Masters,regional,LPLOL,regional,8,2020-04-07,2025-06-09,8,0,7,22975|26457|34684|43913|53092|57883|57916|69026,
direct_bridge,Hitpoint Masters,regional,NLC,regional,5,2021-03-30,2026-03-12,5,0,4,30683|39450|39593|64919|75411,
direct_bridge,Hitpoint Masters,regional,Prime League,regional,10,2020-04-07,2024-08-09,10,0,8,22966|23739|26433|30669|34644|34701|39577|43923|48867|61976,
direct_bridge,Hitpoint Masters,regional,Rift Legends,regional,1,2025-06-05,2025-06-05,1,0,1,68898,
direct_bridge,Hitpoint Masters,regional,Road of Legends,regional,4,2023-08-14,2025-10-02,4,0,4,53076|57877|72663|72693,
direct_bridge,Hitpoint Masters,regional,SuperLiga,regional,3,2022-04-04,2025-09-30,3,0,2,39461|39592|72664,
direct_bridge,Hitpoint Masters,regional,TCL,regional,2,2023-04-07,2023-08-15,2,0,2,48738|53108,
direct_bridge,Hitpoint Masters,regional,Ultraliga,regional,3,2020-08-17,2023-04-14,3,0,3,26435|43950|48859,
direct_bridge,LCK,major,CBLOL,minor_top_level,2,2019-10-03,2024-10-04,2,0,2,20372|62748,
direct_bridge,LCK,major,LCL,minor_top_level,2,2017-02-22,2020-10-11,2,0,2,5922|27089,
direct_bridge,LCK,major,LCO,minor_top_level,1,2021-05-18,2021-05-18,1,0,1,31310,
direct_bridge,LCK,major,LCP,minor_top_level,7,2025-03-12,2026-03-18,7,0,6,64878|69565|72873|72875|72878|72957|75560,
direct_bridge,LCK,major,LCS,major,47,2015-05-07,2026-03-19,47,0,39,1190|2187|2203|2281|2748|2757|3282|3304|4631|4654|4661|4675|6993|8997|8999|11608|14453|14478|14514|17269|20418|20445|20455|27055|27065|31241|31275|31289|35252|35254|35260|35262|35347|39969|44357|44365|44382|49045|53538|53560|58047|58108|60307|62749|62770|62804|75563,
direct_bridge,LCK,major,LEC,major,54,2015-03-13,2026-03-21,54,0,44,842|1167|1191|2181|2200|2763|3287|4629|4638|4698|5926|5941|5949|7011|7027|9020|9027|9051|11612|14456|14458|17261|17280|20425|20453|20475|20480|27077|27086|27117|31296|31317|35245|35273|35342|39950|39985|44310|44362|44369|44375|44386|49003|53567|58069|58121|64957|69262|69569|69625|69633|72868|72950|75580,
direct_bridge,LCK,major,LJL,minor_top_level,3,2021-10-11,2022-05-12,3,0,2,35235|35265|39927,
direct_bridge,LCK,major,LLA,minor_top_level,3,2021-10-05,2024-05-01,3,0,3,35189|39943|58039,
direct_bridge,LCK,major,LMS,minor_top_level,19,2015-10-08,2019-10-20,19,0,14,2209|2235|3291|4647|7000|7018|7866|9011|11620|12488|12492|12495|12585|14483|14494|17248|18462|20431|20461,
