family,primary_tier,tier_history,direct_bridge_component_id,direct_bridge_component_size,direct_bridge_partners,all_flow_component_id,all_flow_component_size,all_flow_partners,domestic_matches,date_min,date_max,unique_teams,unique_players,direct_bridge_events,last_direct_bridge_date,days_since_last_direct_bridge,last_flow_date,days_since_last_flow,transfer_arrivals,transfer_departures
Arabian League,regional,regional,D001,33,14,A001,50,26,438,2023-02-01,2026-05-08,35,209,111,2026-03-13,76,2026-05-07,21,143,82
Baltic Masters,regional,regional,D001,33,9,A001,50,13,67,2021-01-26,2021-08-11,8,62,24,2021-08-17,1745,2025-01-22,491,12,22
CBLOL,minor_top_level,minor_top_level,D001,33,13,A001,50,32,1314,2017-01-21,2026-05-10,89,271,86,2026-03-19,70,2026-05-04,24,268,268
CBLOL Academy,development,development,D002,1,0,A001,50,10,773,2021-01-19,2024-08-25,44,216,0,,,2026-05-06,22,161,188
Circuito Desafiante,development,development,D003,1,0,A001,50,11,262,2020-02-03,2026-05-05,30,148,0,,,2026-05-04,24,136,77
EBL,regional,regional,D001,33,13,A001,50,25,612,2021-01-25,2026-05-07,61,351,123,2026-03-15,74,2026-05-07,21,216,168
EU Challenger Series,development,development,D004,1,0,A001,50,21,28,2017-02-05,2017-08-06,10,63,0,,,2023-01-09,1235,29,60
HLL,regional,regional,D001,33,14,A001,50,26,732,2021-01-18,2026-05-07,53,395,152,2026-03-15,74,2026-05-07,21,259,207
Hitpoint Challengers,development,development,D005,1,0,A001,50,3,79,2021-02-03,2021-07-03,12,80,0,,,2026-04-17,41,25,48
Hitpoint Masters,regional,regional,D001,33,15,A001,50,29,927,2018-03-06,2026-05-06,98,471,152,2026-03-13,76,2026-05-07,21,217,196
LCK,major,major,D001,33,14,A001,50,30,2416,2014-12-03,2026-05-10,178,478,445,2026-03-21,68,2026-05-11,17,379,519
LCK CL,development,development,D006,1,0,A001,50,22,1365,2020-02-06,2026-05-11,71,281,0,,,2026-05-11,17,325,348
LCL,minor_top_level,minor_top_level,D001,33,14,A001,50,32,622,2017-01-28,2022-02-20,51,175,67,2021-10-07,1694,2025-04-01,422,38,88
