group_type,tier,family,active_players,low_evidence_players,unknown_affiliation_players,date_min_last_appearance,date_max_last_appearance,glicko_rating_min,glicko_rating_p10,glicko_rating_p25,glicko_rating_median,glicko_rating_p75,glicko_rating_p90,glicko_rating_max,glicko_rd_min,glicko_rd_p10,glicko_rd_p25,glicko_rd_median,glicko_rd_p75,glicko_rd_p90,glicko_rd_max,glicko_lower_bound_min,glicko_lower_bound_p10,glicko_lower_bound_p25,glicko_lower_bound_median,glicko_lower_bound_p75,glicko_lower_bound_p90,glicko_lower_bound_max
family,all,Arabian League,45,3,0,2026-04-10,2026-05-08,1274.8708980593854,1359.1683968788634,1409.8199158827722,1480.3107907738683,1623.2732008739713,1694.8247170217032,1794.9748816387291,65.6645190301614,67.35977442439751,68.77885885791385,71.73481542611856,78.15701416039177,93.54423660886754,228.12221507636838,818.6264679066486,1164.9206835196537,1215.0941154805423,1342.6177720552776,1481.3829063753801,1530.3343639414206,1631.0115407917613
family,all,CBLOL,42,0,0,2026-04-19,2026-05-10,1499.4190685125516,1570.6401660809388,1631.7155283062643,1701.0955300879536,1754.8752403148749,1826.1486493754544,1848.2520148715723,66.64486183487625,67.57128959215603,68.06252807980343,69.4198789807049,71.06609086187612,74.87864177767561,80.28023794441317,1347.0723354639608,1431.0534177263391,1481.3708036625108,1563.9521150458222,1621.3355191508858,1689.6594579949026,1692.8648413005849
family,all,Circuito Desafiante,54,2,0,2026-04-01,2026-05-05,1281.283802398346,1320.3124401607422,1404.104195901668,1496.7642730345974,1603.5207964661167,1657.9874344256814,1746.7883907017044,70.59407903599342,75.55524054957553,77.28077973664332,78.85790618634428,90.94815125274235,106.15985613881045,223.98495456265059,870.2572334285962,1125.5332193837442,1244.0877124568462,1331.023032487235,1450.1747609836602,1503.6460480104138,1604.3423111299599
family,all,EBL,52,11,0,2026-04-16,2026-05-07,1041.727804597776,1274.2868607406424,1344.2265968084798,1447.1020864135717,1535.3801393575282,1602.8517754719164,1907.6172276247698,70.87492528322667,73.9905179686447,78.75693811594807,82.76313073285505,128.67102290150657,215.4073253175796,269.2626715804282,670.9224191807828,850.4105623594152,1046.7877753612736,1267.0576448929805,1379.709550259256,1458.9545685474757,1746.7618154209126
family,all,HLL,49,7,0,2026-03-31,2026-05-07,1087.2128900852385,1207.5626761143797,1289.8131146409874,1442.172852194175,1627.9617079517784,1677.633183343727,1705.6237135131896,70.98251976960861,73.42227492823227,75.62740959992801,81.59743790802149,106.6586528822754,193.6633932777783,234.71876664852942,701.9396388644959,882.5827963170667,1080.8615610489142,1284.8917966000697,1478.6581919416687,1530.9670776859143,1558.284957097459
family,all,Hitpoint Masters,53,11,0,2026-04-18,2026-05-06,1046.6643536785245,1163.5035921413248,1246.3091691388308,1379.2913840685403,1568.8870167482105,1707.7083952275796,1784.7293411928736,71.82902627117193,74.06146494428947,78.32218770075885,89.1832693828701,124.64543394314823,214.965687763861,240.94538503714787,731.3042616753189,839.5118653442764,991.475644085191,1192.514074142463,1389.6225444750912,1508.2302536164455,1630.6707593940562
family,all,LCK,53,0,0,2026-04-23,2026-05-10,1501.7013028179392,1617.5855894779406,1711.5267899112753,1806.8678836442896,1992.8509395568924,2009.3999644292157,2049.3519232206763,64.48946395413815,65.53128255211153,67.00510603436993,68.57286838627414,69.36728861260477,71.32612942885524,87.99016136039792,1354.813408385952,1476.5666234243706,1573.7787569720156,1675.7378301502076,1855.5605556347246,1871.2985132372612,1906.2509943381974
family,all,LCK CL,53,0,0,2026-04-09,2026-05-11,1323.1196295203385,1380.8654799725657,1465.4348329299764,1542.7330013251194,1593.3848660869216,1599.5928487053764,1725.1558902235952,64.18672990702595,64.42938858674646,65.73224530778812,66.77431043182108,68.64264673389425,76.51442480720677,122.50147541004573,1087.0440451107115,1245.075347388112,1328.6560611602092,1404.9447948527861,1459.955673132735,1468.2342456906524,1588.974594030725
family,all,LCP,42,0,0,2026-04-11,2026-05-10,1425.7886163259363,1569.1497336203615,1628.1968242689584,1728.9574764325007,1761.1448841517458,1887.4190426946275,1949.62170300544,67.70468177912996,67.83610316212588,69.19011210087648,70.02042885214009,73.26692100514538,77.68871790284116,125.60557360538547,1263.3162590418094,1425.6728957043908,1479.6558917025386,1588.137113171726,1618.4423217300614,1745.4480447085796,1762.0555257684382
family,all,LCS,41,0,0,2026-05-02,2026-05-10,1503.722767208438,1576.0950060757798,1608.5676087214758,1693.3497416758873,1810.2175778794701,1846.0988848378324,1901.1898446761302,67.45611318295836,68.55153097712076,69.163003234148,70.58736310354317,72.81087952622691,75.01119407947948,92.7981972402299,1348.369822927609,1425.1204495280103,1465.6025115786317,1557.3484578640364,1671.389977544175,1707.362347045269,1760.015118469044
